"Schwierigkeitsgrad";"Wie anspruchsvoll soll das Spiel sein?"
"Länge";"Wie lange soll das Spiel dauern?"
"Geschick vs. Glück";"Mir ist es wichtig, dass das Spiel durch strategisches Geschick und Können entschieden werden, nicht durch Zufall."
"Kooperativ vs. kompetetiv";"Ich möchte mit meinen Mitspieler:innen lieber kooperieren und ein gemeinsames Ziel verfolgen, anstatt mit ihnen um den Sieg zu konkurrieren."
"Interaktiv vs. solitär";"Die Interaktion mit meinen Mitspieler:innen ist mir sehr wichtig (z.&nbsp;B. sich gegenseitig helfen, schaden oder Sachen wegnehmen). Spiele, in denen jede:r eher sein eigenes Ding macht, bereiten mir weniger Freude."
"Resource Management";"Güter erzeugen, verwalten, handeln und ausgeben<br><small>z. B. Siedler von Catan, 7 Wonders, Terraforming Mars</small>"
"Area Control";"Gebiete auf dem Spielfeld kontrollieren und erweitern<br><small>z. B. Risiko, Terraforming Mars</small>"
"Kreativität";"Assoziationen bilden (z.&nbsp;B. zwischen Wörtern oder Bildern) oder etwas malen bzw. pantomimisch darstellen<br><small>z. B. Dixit, Codenames, Tabu, Activity</small>"
"Player Elimination";"Allmähliches Ausscheiden der Spieler:innen, wenn diesen z. B. das Geld oder die Lebenspunkte ausgehen<br><small>z. B. Monopoly, Risiko, King of Tokyo</small>"
"Plättchen legen";"Plättchen legen und dadurch etwas aufbauen, um Siegpunkte zu erlangen<br><small>z. B. Carcasonne, Terraforming Mars</small>"
"(Social) Deduction";"Wie ein:e Dedektiv:in Informationen sammeln und dadurch Schlussfolgerungen ziehen<br><small>z. B. Cluedo, Werwölfe von Düsterwald, Krimidinner</small>"
"Reaktion";"Möglichst schnell reagieren, aber dabei keine Fehler machen<br><small>z. B. Halli Galli, Dobble</small>"
"Geschicklichkeit";"Sich geschickt anstellen, etwa beim Balancieren oder Zielen<br><small>z. B. Klask, Jenga, Mikado</small>"
"Deck Building";"Sich einen Kartenstapel zum Nachziehen zusammenstellen, indem man sich neue Karten kauft bzw. Alte entsorgt (auch als &quot;Bag Building&quot; mit Plättchen, die man aus einem Beutel zieht)<br><small>z. B. Dominion, Orleans, Quacksalber von Quedlinburg</small>"
"Worker Placement";"Die eigenen Spielfiguren auf Aktionsfelder stellen, um die entsprechenden Aktionen auszuführen und die Felder für die anderen zu blockieren<br><small>z. B. Agricola, Everdell</small>"
"Roll & Write";"Würfeln und dem Ergebnis entsprechend etwas auf dem eigenen Papier eintragen (auch als &quot;Flip&nbsp;&&nbsp;Write&quot; anstelle von Würfeln mit Karten, die aufgedeckt werden)<br><small>z. B. Kniffel, Welcome to..., Ganz schön clever</small>"
"Push your luck";"Auf Nummer sicher gehen oder doch lieber viel riskieren, um viel zu gewinnen (oder verlieren)?<br><small>z. B. Zug um Zug, Port Royal, King of Tokyo, Codenames</small>"
"Drafting";"Aufteilung von Karten (oder anderen Spielmaterialien) nicht durch Zufall, sondern indem alle abwechselnd auswählen dürfen<br><small>z. B. 7&nbsp;Wonders, Azul, Patchwork, Kingdomino</small>"
